Gender,Expertise,Ages,Level1,Level2,Level3,Subs,Annual_income,Job_status,Commitment,Time,State,Platform,Device,Completed,Churn,Time counts
Female,beginner,30,301,303,109,annual,36864,self_employed,high,18:00-00:00,Active,ios,laptop,713,low,4
Female,beginner,38,315,309,21,annual,46355,other,high,00:00-06:00,Active,ios,other,645,low,3
Female,beginner,28,311,251,NaN,monthly,33364,unemployed,medium,18:00-00:00,Active,ios,laptop,562,medium,3
Female,beginner,27,61,NaN,NaN,annual,55176,self_employed,low,18:00-00:00,Active,ios,tablet,61,high,1
Female,beginner,27,211,NaN,NaN,annual,30272,unemployed,low,00:00-06:00,Active,android,phone,211,high,1
Female,beginner,26,318,NaN,NaN,monthly,22570,self_employed,low,06:00-12:00,Inactive,ios,tablet,318,high,1
Female,beginner,29,274,NaN,NaN,annual,36542,employed,low,18:00-00:00,Active,ios,laptop,274,high,1
Female,beginner,38,240,NaN,NaN,annual,28827,self_employed,low,06:00-12:00,Inactive,ios,tablet,240,high,1
Female,beginner,28,329,114,NaN,annual,48629,other,medium,12:00-18:00,Active,ios,phone,443,medium,4
Female,beginner,26,293,299,287,annual,61809,unemployed,high,18:00-00:00,Active,ios,laptop,879,low,4
Female,beginner,35,285,122,NaN,monthly,47346,other,medium,18:00-00:00,Active,ios,laptop,407,medium,2
Female,beginner,39,310,329,30,annual,33839,unemployed,high,18:00-00:00,Active,android,phone,669,low,3
Female,beginner,38,312,318,154,monthly,52271,other,high,06:00-12:00,Active,android,other,784,low,2
Female,beginner,29,85,NaN,NaN,annual,60641,employed,low,06:00-12:00,Active,ios,phone,85,high,1
Female,beginner,29,302,42,NaN,annual,52611,other,medium,12:00-18:00,Active,android,laptop,344,medium,4
Female,beginner,38,153,NaN,NaN,annual,40495,self_employed,low,12:00-18:00,Active,android,laptop,153,high,1
Female,beginner,28,282,251,NaN,annual,20385,employed,medium,06:00-12:00,Active,android,phone,533,medium,4
Female,beginner,29,215,NaN,NaN,monthly,31833,self_employed,low,00:00-06:00,Active,ios,other,215,high,1
Female,beginner,26,49,NaN,NaN,monthly,43579,unemployed,low,06:00-12:00,Active,android,laptop,49,high,1
Female,beginner,32,211,NaN,NaN,monthly,61940,other,low,18:00-00:00,Active,ios,other,211,high,1
Female,beginner,31,164,NaN,NaN,monthly,32997,other,low,18:00-00:00,Active,ios,tablet,164,high,1
Female,beginner,34,79,NaN,NaN,annual,43595,employed,low,12:00-18:00,Active,android,phone,79,high,1
Female,beginner,38,315,286,297,annual,25722,unemployed,high,06:00-12:00,Active,ios,laptop,898,low,4
Female,beginner,40,315,304,68,monthly,27833,self_employed,high,06:00-12:00,Active,ios,tablet,687,low,3
Female,beginner,37,263,NaN,NaN,monthly,38585,self_employed,low,00:00-06:00,Inactive,android,other,263,high,1
Female,beginner,36,140,NaN,NaN,monthly,62720,employed,low,12:00-18:00,Inactive,ios,phone,140,high,1
Female,beginner,32,327,NaN,NaN,monthly,28335,self_employed,low,18:00-00:00,Active,ios,other,327,high,1
Female,beginner,28,284,328,271,annual,30567,self_employed,high,18:00-00:00,Active,ios,phone,883,low,2
Female,beginner,26,146,NaN,NaN,monthly,40892,employed,low,12:00-18:00,Active,ios,laptop,146,high,1
Female,beginner,39,213,NaN,NaN,annual,49679,self_employed,low,06:00-12:00,Inactive,ios,laptop,213,high,1
Female,beginner,39,47,NaN,NaN,annual,38421,employed,low,18:00-00:00,Active,android,tablet,47,high,1
Female,beginner,26,247,NaN,NaN,monthly,47894,other,low,12:00-18:00,Active,ios,tablet,247,high,1
Female,beginner,27,29,NaN,NaN,monthly,49835,employed,low,00:00-06:00,Active,android,other,29,high,1
Female,beginner,40,190,NaN,NaN,monthly,39241,other,low,06:00-12:00,Inactive,android,tablet,190,high,1
Female,beginner,40,287,319,59,annual,22424,self_employed,high,18:00-00:00,Active,ios,tablet,665,low,2
Female,beginner,31,309,293,159,annual,36630,self_employed,high,06:00-12:00,Active,ios,laptop,761,low,4
Female,beginner,32,285,313,103,monthly,25788,self_employed,high,00:00-06:00,Active,android,phone,701,low,3
Female,beginner,34,296,293,129,monthly,24293,unemployed,high,12:00-18:00,Active,ios,tablet,718,low,4
Female,beginner,32,332,317,186,monthly,52328,other,high,06:00-12:00,Active,ios,other,835,low,2
Female,beginner,30,319,148,NaN,annual,67349,other,medium,00:00-06:00,Active,ios,other,467,medium,4
Female,beginner,30,330,NaN,NaN,monthly,44394,self_employed,low,12:00-18:00,Active,ios,phone,330,high,1
Female,beginner,26,321,298,166,monthly,52427,employed,high,12:00-18:00,Active,android,laptop,785,low,4
Male,beginner,40,298,322,294,annual,62699,unemployed,high,18:00-00:00,Active,ios,phone,914,low,4
Male,beginner,27,320,315,167,monthly,52938,other,high,00:00-06:00,Active,android,laptop,802,low,3
Male,beginner,26,167,NaN,NaN,annual,39607,self_employed,low,12:00-18:00,Active,ios,phone,167,high,1
Male,beginner,38,288,327,45,annual,39674,self_employed,high,06:00-12:00,Active,android,tablet,660,low,3
Male,beginner,26,317,314,210,monthly,39716,unemployed,high,18:00-00:00,Active,android,other,841,low,4
Male,beginner,38,330,249,NaN,annual,32307,other,medium,00:00-06:00,Active,android,other,579,medium,3
Male,beginner,30,314,321,91,monthly,55623,other,high,18:00-00:00,Active,android,phone,726,low,3
Male,beginner,37,311,289,167,annual,21663,employed,high,00:00-06:00,Active,ios,phone,767,low,2
Male,beginner,27,327,117,NaN,annual,56100,unemployed,medium,00:00-06:00,Active,ios,tablet,444,medium,2
Male,beginner,32,273,NaN,NaN,monthly,29345,self_employed,low,06:00-12:00,Active,android,tablet,273,high,1
Male,beginner,40,205,NaN,NaN,annual,57426,unemployed,low,00:00-06:00,Inactive,android,laptop,205,high,1
Male,beginner,32,292,292,38,monthly,50964,employed,high,18:00-00:00,Active,ios,laptop,622,low,3
Male,beginner,36,221,NaN,NaN,annual,20964,self_employed,low,18:00-00:00,Inactive,android,tablet,221,high,1
Male,beginner,36,211,NaN,NaN,monthly,26718,employed,low,18:00-00:00,Active,android,laptop,211,high,1
Male,beginner,33,289,281,314,monthly,37396,unemployed,high,06:00-12:00,Active,android,laptop,884,low,3
Male,beginner,28,291,328,NaN,annual,48934,employed,medium,18:00-00:00,Active,android,other,619,medium,3
Male,beginner,30,303,319,259,annual,25047,employed,high,12:00-18:00,Active,android,tablet,881,low,2
Male,beginner,27,58,NaN,NaN,monthly,60203,employed,low,06:00-12:00,Active,android,laptop,58,high,1
Male,beginner,26,31,NaN,NaN,annual,41521,unemployed,low,12:00-18:00,Active,android,laptop,31,high,1
Male,beginner,29,298,312,244,monthly,61410,employed,high,18:00-00:00,Active,ios,tablet,854,low,3
Male,beginner,38,296,281,270,annual,37966,other,high,12:00-18:00,Active,android,phone,847,low,2
Male,beginner,40,76,NaN,NaN,monthly,29630,unemployed,low,06:00-12:00,Inactive,android,laptop,76,high,1
Male,beginner,30,319,327,24,annual,24803,other,high,00:00-06:00,Active,android,tablet,670,low,3
Male,beginner,36,189,NaN,NaN,annual,40985,unemployed,low,12:00-18:00,Active,android,tablet,189,high,1
Male,beginner,27,86,NaN,NaN,monthly,37968,self_employed,low,00:00-06:00,Active,android,laptop,86,high,1
Male,beginner,30,29,NaN,NaN,annual,63371,other,low,06:00-12:00,Active,ios,laptop,29,high,1
Male,beginner,27,309,311,59,annual,43038,other,high,06:00-12:00,Active,ios,laptop,679,low,2
Male,beginner,40,321,280,83,monthly,34408,other,high,00:00-06:00,Active,ios,laptop,684,low,2
Male,beginner,38,63,NaN,NaN,monthly,40942,employed,low,06:00-12:00,Active,ios,other,63,high,1
Male,beginner,39,271,NaN,NaN,monthly,63548,other,low,00:00-06:00,Active,android,phone,271,high,1
Male,beginner,39,188,NaN,NaN,annual,23997,employed,low,00:00-06:00,Inactive,ios,tablet,188,high,1
Male,beginner,38,263,NaN,NaN,monthly,32790,other,low,12:00-18:00,Active,ios,other,263,high,1
Male,beginner,33,299,9,NaN,annual,58564,unemployed,medium,00:00-06:00,Active,android,tablet,308,medium,3
Male,beginner,39,55,NaN,NaN,annual,51892,other,low,12:00-18:00,Active,ios,phone,55,high,1
Male,beginner,32,327,NaN,NaN,monthly,27180,unemployed,low,06:00-12:00,Active,ios,phone,327,high,1
Male,beginner,27,206,NaN,NaN,annual,59965,other,low,12:00-18:00,Active,android,phone,206,high,1
Male,beginner,30,319,NaN,NaN,monthly,32688,unemployed,low,06:00-12:00,Inactive,ios,tablet,319,high,1
Male,beginner,36,322,320,NaN,monthly,56175,self_employed,medium,18:00-00:00,Active,ios,other,642,medium,2
Male,beginner,29,157,NaN,NaN,monthly,40297,other,low,06:00-12:00,Inactive,ios,tablet,157,high,1
Male,beginner,33,102,NaN,NaN,monthly,58722,other,low,06:00-12:00,Active,android,tablet,102,high,1
Male,beginner,26,300,306,16,monthly,62926,other,high,12:00-18:00,Active,android,laptop,622,low,4
Male,beginner,31,317,299,170,monthly,62426,self_employed,high,12:00-18:00,Active,ios,other,786,low,2
Male,beginner,40,280,283,319,annual,59232,self_employed,high,00:00-06:00,Active,ios,other,882,low,4
Male,beginner,26,311,287,129,monthly,53970,other,high,18:00-00:00,Active,android,laptop,727,low,3
Male,beginner,28,110,NaN,NaN,monthly,63012,unemployed,low,12:00-18:00,Active,android,other,110,high,1
Male,beginner,27,281,326,158,annual,43494,employed,high,18:00-00:00,Active,android,other,765,low,2
Male,beginner,39,287,320,242,monthly,48320,other,high,12:00-18:00,Active,ios,other,849,low,4
Male,beginner,38,41,NaN,NaN,annual,56356,unemployed,low,00:00-06:00,Active,android,laptop,41,high,1
Male,beginner,37,165,NaN,NaN,annual,23620,employed,low,06:00-12:00,Active,android,phone,165,high,1
Male,beginner,28,325,117,NaN,annual,47112,self_employed,medium,06:00-12:00,Active,ios,phone,442,medium,4
Male,beginner,37,285,323,326,monthly,58785,employed,high,06:00-12:00,Active,android,phone,934,low,3
Male,beginner,32,306,316,NaN,annual,60978,unemployed,medium,18:00-00:00,Active,ios,other,622,medium,2
Male,beginner,35,193,NaN,NaN,annual,35228,employed,low,18:00-00:00,Active,android,tablet,193,high,1
Male,beginner,29,283,311,171,monthly,51387,employed,high,06:00-12:00,Active,android,phone,765,low,3
Male,beginner,28,176,NaN,NaN,annual,21271,employed,low,18:00-00:00,Active,android,phone,176,high,1
Male,beginner,40,54,NaN,NaN,annual,42070,unemployed,low,18:00-00:00,Inactive,android,phone,54,high,1
Male,beginner,29,138,NaN,NaN,monthly,58316,unemployed,low,00:00-06:00,Active,ios,tablet,138,high,1
Male,beginner,31,220,NaN,NaN,monthly,25288,other,low,18:00-00:00,Active,android,phone,220,high,1
Male,beginner,30,249,NaN,NaN,annual,53012,other,low,18:00-00:00,Active,android,laptop,249,high,1
Male,beginner,32,318,295,37,monthly,46669,unemployed,high,12:00-18:00,Active,android,phone,650,low,2
Male,beginner,35,220,NaN,NaN,annual,51214,other,low,06:00-12:00,Active,ios,laptop,220,high,1
Male,beginner,27,217,NaN,NaN,monthly,53658,other,low,00:00-06:00,Inactive,ios,laptop,217,high,1
Male,beginner,32,327,292,221,annual,44324,employed,high,06:00-12:00,Active,ios,phone,840,low,4
Male,beginner,26,315,302,78,monthly,59912,other,high,00:00-06:00,Active,ios,tablet,695,low,3
Male,beginner,36,282,80,NaN,annual,44028,self_employed,medium,18:00-00:00,Active,android,tablet,362,medium,4
Male,beginner,39,325,302,196,monthly,29437,employed,high,06:00-12:00,Active,android,laptop,823,low,4
Male,beginner,32,50,NaN,NaN,annual,52019,employed,low,12:00-18:00,Active,android,phone,50,high,1
Male,beginner,39,48,NaN,NaN,monthly,38438,self_employed,low,06:00-12:00,Active,android,other,48,high,1
Male,beginner,38,50,NaN,NaN,annual,55564,employed,low,06:00-12:00,Active,android,other,50,high,1
Male,beginner,29,318,NaN,NaN,annual,46908,self_employed,low,18:00-00:00,Active,android,phone,318,high,1
Male,beginner,37,286,299,208,annual,51010,self_employed,high,12:00-18:00,Active,ios,tablet,793,low,3
Male,beginner,38,321,316,21,monthly,20587,unemployed,high,06:00-12:00,Active,ios,laptop,658,low,4
Male,beginner,39,330,260,NaN,annual,59193,unemployed,medium,18:00-00:00,Active,android,laptop,590,medium,2
Male,beginner,34,110,NaN,NaN,monthly,39801,other,low,12:00-18:00,Active,android,tablet,110,high,1
Male,beginner,26,280,269,NaN,monthly,67010,unemployed,medium,12:00-18:00,Active,android,other,549,medium,4
Male,beginner,40,319,316,152,monthly,45536,employed,high,00:00-06:00,Active,ios,tablet,787,low,4
Male,beginner,37,79,NaN,NaN,annual,42643,self_employed,low,18:00-00:00,Active,android,laptop,79,high,1
Male,beginner,33,286,134,NaN,annual,49904,self_employed,medium,00:00-06:00,Active,ios,tablet,420,medium,2
Male,beginner,35,315,171,NaN,annual,54057,other,medium,18:00-00:00,Active,ios,other,486,medium,3
Male,beginner,30,306,159,NaN,monthly,61695,other,medium,06:00-12:00,Active,ios,tablet,465,medium,3
Male,beginner,26,280,234,NaN,annual,35518,employed,medium,06:00-12:00,Active,ios,laptop,514,medium,4
Male,beginner,39,285,311,228,monthly,41569,unemployed,high,18:00-00:00,Active,android,other,824,low,2
Male,beginner,37,287,290,310,monthly,30963,employed,high,18:00-00:00,Active,ios,laptop,887,low,2
Male,beginner,37,297,NaN,NaN,monthly,29983,employed,low,06:00-12:00,Inactive,android,laptop,297,high,1
Male,beginner,40,304,129,NaN,annual,35618,employed,medium,18:00-00:00,Active,ios,tablet,433,medium,2
Male,beginner,26,196,NaN,NaN,annual,52558,unemployed,low,00:00-06:00,Active,android,phone,196,high,1
Male,beginner,37,285,305,41,monthly,23942,unemployed,high,06:00-12:00,Active,android,phone,631,low,4
Male,beginner,27,302,247,NaN,annual,43910,employed,medium,18:00-00:00,Active,android,other,549,medium,3
Male,beginner,34,317,330,201,annual,40302,unemployed,high,06:00-12:00,Active,android,tablet,848,low,2
Male,beginner,37,298,311,294,annual,46743,other,high,00:00-06:00,Active,android,laptop,903,low,2
Male,beginner,27,282,97,NaN,annual,54244,self_employed,medium,06:00-12:00,Active,ios,phone,379,medium,4
Male,beginner,26,333,295,4,monthly,58408,employed,high,00:00-06:00,Active,ios,laptop,632,low,2
Male,beginner,37,303,39,NaN,monthly,29688,self_employed,medium,06:00-12:00,Active,ios,tablet,342,medium,3
Male,beginner,36,329,221,NaN,annual,20801,other,medium,00:00-06:00,Active,ios,other,550,medium,4
Male,beginner,32,25,NaN,NaN,monthly,33713,employed,low,00:00-06:00,Active,ios,laptop,25,high,1
Male,beginner,36,243,NaN,NaN,monthly,46535,unemployed,low,00:00-06:00,Active,ios,phone,243,high,1
Male,beginner,40,329,199,NaN,monthly,58959,unemployed,medium,18:00-00:00,Active,android,tablet,528,medium,3
Male,beginner,34,287,320,6,monthly,45367,self_employed,high,18:00-00:00,Active,ios,laptop,613,low,2
Male,beginner,33,189,NaN,NaN,annual,19899,self_employed,low,12:00-18:00,Active,android,other,189,high,1
Male,beginner,38,313,281,232,monthly,35184,employed,high,00:00-06:00,Active,ios,phone,826,low,2
Male,beginner,30,298,302,270,annual,28590,other,high,18:00-00:00,Active,ios,tablet,870,low,3
Male,beginner,38,294,333,131,annual,34946,self_employed,high,00:00-06:00,Active,ios,laptop,758,low,4
Male,beginner,36,168,NaN,NaN,monthly,55953,self_employed,low,18:00-00:00,Inactive,ios,phone,168,high,1
Male,beginner,40,317,318,263,monthly,64711,other,high,18:00-00:00,Active,ios,other,898,low,2
Male,beginner,34,314,186,NaN,annual,24914,employed,medium,18:00-00:00,Active,ios,phone,500,medium,3
Male,beginner,39,287,260,NaN,monthly,22486,self_employed,medium,18:00-00:00,Active,ios,phone,547,medium,2
Male,beginner,37,71,NaN,NaN,monthly,49791,self_employed,low,00:00-06:00,Inactive,android,tablet,71,high,1
Male,beginner,28,195,NaN,NaN,annual,61103,unemployed,low,06:00-12:00,Inactive,ios,phone,195,high,1
Male,beginner,39,252,NaN,NaN,monthly,67093,self_employed,low,12:00-18:00,Inactive,android,tablet,252,high,1
Male,beginner,33,310,NaN,NaN,annual,31010,other,low,12:00-18:00,Inactive,ios,laptop,310,high,1
Male,beginner,28,234,NaN,NaN,monthly,50346,self_employed,low,18:00-00:00,Active,ios,other,234,high,1
Male,beginner,28,70,NaN,NaN,annual,56377,self_employed,low,18:00-00:00,Active,ios,laptop,70,high,1
Male,beginner,40,302,332,184,annual,49803,self_employed,high,18:00-00:00,Active,ios,tablet,818,low,2
Male,beginner,39,292,326,250,annual,19925,other,high,18:00-00:00,Active,android,tablet,868,low,2
Male,beginner,29,284,11,NaN,annual,55876,other,medium,06:00-12:00,Active,android,tablet,295,medium,4
Male,beginner,33,314,29,NaN,annual,49620,other,medium,18:00-00:00,Active,android,phone,343,medium,4
Male,beginner,31,301,251,NaN,annual,25907,self_employed,medium,18:00-00:00,Active,android,other,552,medium,3
Male,beginner,36,317,328,149,monthly,42576,other,high,00:00-06:00,Active,ios,phone,794,low,2
Male,beginner,27,285,NaN,NaN,monthly,64651,employed,low,12:00-18:00,Active,ios,other,285,high,1
Male,beginner,36,193,NaN,NaN,monthly,41721,employed,low,18:00-00:00,Active,ios,phone,193,high,1
Male,beginner,26,206,NaN,NaN,annual,21332,other,low,00:00-06:00,Inactive,android,other,206,high,1
Male,beginner,40,249,NaN,NaN,monthly,66834,unemployed,low,12:00-18:00,Active,ios,other,249,high,1
Male,beginner,32,294,191,NaN,monthly,62443,self_employed,medium,00:00-06:00,Active,ios,other,485,medium,2
Male,beginner,30,327,NaN,NaN,annual,44448,unemployed,low,18:00-00:00,Inactive,android,tablet,327,high,1
Male,beginner,32,319,322,155,monthly,38354,employed,high,06:00-12:00,Active,ios,tablet,796,low,3
Male,beginner,29,326,331,67,monthly,59027,employed,high,18:00-00:00,Active,ios,laptop,724,low,3
Male,beginner,26,116,NaN,NaN,annual,58714,other,low,06:00-12:00,Active,android,tablet,116,high,1
Male,beginner,28,320,324,270,monthly,49553,self_employed,high,06:00-12:00,Active,ios,other,914,low,2
Male,beginner,33,271,NaN,NaN,annual,20220,unemployed,low,06:00-12:00,Active,ios,laptop,271,high,1
Male,beginner,27,310,NaN,NaN,annual,41535,employed,low,00:00-06:00,Active,ios,tablet,310,high,1
Male,beginner,31,299,138,NaN,monthly,62949,unemployed,medium,12:00-18:00,Active,android,phone,437,medium,3
Male,beginner,37,300,NaN,NaN,annual,22278,unemployed,low,00:00-06:00,Active,android,phone,300,high,1
Male,beginner,33,283,137,NaN,annual,64104,self_employed,medium,06:00-12:00,Active,ios,other,420,medium,4
Male,beginner,36,320,322,311,annual,58971,other,high,12:00-18:00,Active,android,laptop,953,low,4
Male,beginner,33,39,NaN,NaN,annual,60677,unemployed,low,06:00-12:00,Active,android,laptop,39,high,1
Male,beginner,29,239,NaN,NaN,annual,53930,self_employed,low,06:00-12:00,Inactive,ios,laptop,239,high,1
Male,beginner,36,319,297,256,monthly,42262,self_employed,high,00:00-06:00,Active,ios,phone,872,low,3
Male,beginner,39,198,NaN,NaN,monthly,30046,other,low,12:00-18:00,Active,android,phone,198,high,1
Male,beginner,35,214,NaN,NaN,annual,25916,employed,low,12:00-18:00,Active,android,tablet,214,high,1
Male,beginner,40,261,NaN,NaN,annual,27294,unemployed,low,00:00-06:00,Active,ios,laptop,261,high,1
Male,beginner,40,285,323,72,annual,48634,self_employed,high,12:00-18:00,Active,ios,phone,680,low,2
Male,beginner,33,111,NaN,NaN,monthly,31270,self_employed,low,18:00-00:00,Active,ios,tablet,111,high,1
Male,beginner,32,214,NaN,NaN,monthly,51621,employed,low,00:00-06:00,Active,ios,tablet,214,high,1
Male,beginner,33,28,NaN,NaN,monthly,21190,employed,low,18:00-00:00,Inactive,ios,phone,28,high,1
Male,beginner,40,112,NaN,NaN,annual,59718,employed,low,00:00-06:00,Active,android,laptop,112,high,1
Male,beginner,27,293,51,NaN,annual,34061,unemployed,medium,12:00-18:00,Active,ios,laptop,344,medium,2
Male,beginner,38,281,295,287,annual,39886,unemployed,high,12:00-18:00,Active,android,laptop,863,low,2
Male,beginner,37,183,NaN,NaN,monthly,43422,other,low,12:00-18:00,Inactive,ios,laptop,183,high,1
Male,beginner,35,301,195,NaN,annual,34933,other,medium,00:00-06:00,Active,android,tablet,496,medium,2
Male,beginner,36,317,245,NaN,monthly,27090,self_employed,medium,06:00-12:00,Active,android,tablet,562,medium,4
Male,beginner,33,318,307,232,annual,66817,other,high,00:00-06:00,Active,android,phone,857,low,3
Male,beginner,29,294,331,NaN,annual,58992,unemployed,medium,12:00-18:00,Active,ios,phone,625,medium,4
Male,beginner,34,20,NaN,NaN,monthly,45024,employed,low,18:00-00:00,Active,ios,tablet,20,high,1
Male,beginner,32,328,283,NaN,annual,19213,self_employed,medium,12:00-18:00,Active,ios,tablet,611,medium,4
Male,beginner,34,226,NaN,NaN,annual,26110,other,low,12:00-18:00,Active,ios,tablet,226,high,1
Male,beginner,34,302,321,180,annual,61361,employed,high,12:00-18:00,Active,ios,laptop,803,low,3
Male,beginner,31,248,NaN,NaN,monthly,33938,unemployed,low,06:00-12:00,Active,android,tablet,248,high,1
Male,beginner,36,299,189,NaN,monthly,52312,employed,medium,12:00-18:00,Active,android,laptop,488,medium,3
Male,beginner,27,282,NaN,NaN,annual,67077,self_employed,low,00:00-06:00,Active,android,other,282,high,1
Male,beginner,35,316,294,161,monthly,58274,other,high,12:00-18:00,Active,ios,phone,771,low,3
Male,beginner,30,304,38,NaN,annual,39957,other,medium,06:00-12:00,Active,android,tablet,342,medium,3
Male,beginner,30,219,NaN,NaN,annual,41430,self_employed,low,18:00-00:00,Active,ios,laptop,219,high,1
Male,beginner,39,304,325,55,monthly,37813,unemployed,high,06:00-12:00,Active,android,other,684,low,4
Male,beginner,26,298,203,NaN,annual,45584,employed,medium,12:00-18:00,Active,ios,phone,501,medium,2
Male,beginner,37,221,NaN,NaN,monthly,43401,employed,low,00:00-06:00,Active,ios,phone,221,high,1
Male,beginner,37,19,NaN,NaN,annual,59698,self_employed,low,12:00-18:00,Inactive,android,tablet,19,high,1
Male,beginner,33,298,233,NaN,monthly,32271,other,medium,18:00-00:00,Active,ios,other,531,medium,2
Male,beginner,30,220,NaN,NaN,annual,26539,unemployed,low,12:00-18:00,Active,android,phone,220,high,1
Male,beginner,37,317,315,NaN,annual,40139,self_employed,medium,06:00-12:00,Active,android,other,632,medium,2
Male,beginner,30,306,294,237,annual,45603,self_employed,high,00:00-06:00,Active,ios,tablet,837,low,2
Male,beginner,31,319,129,NaN,monthly,45515,other,medium,06:00-12:00,Active,android,phone,448,medium,4
Male,beginner,40,307,40,NaN,annual,30985,unemployed,medium,00:00-06:00,Active,ios,laptop,347,medium,4
Male,beginner,29,307,76,NaN,annual,59294,self_employed,medium,00:00-06:00,Active,android,laptop,383,medium,2
Male,beginner,39,328,72,NaN,monthly,51470,self_employed,medium,18:00-00:00,Active,android,phone,400,medium,4
Male,beginner,40,249,NaN,NaN,annual,63069,unemployed,low,18:00-00:00,Active,ios,laptop,249,high,1
Male,beginner,27,154,NaN,NaN,monthly,21511,self_employed,low,00:00-06:00,Active,android,laptop,154,high,1
Male,beginner,27,296,258,NaN,annual,38071,other,medium,12:00-18:00,Active,android,tablet,554,medium,2
Male,beginner,31,259,NaN,NaN,monthly,57047,employed,low,00:00-06:00,Active,android,other,259,high,1
Male,beginner,31,320,308,NaN,annual,45279,self_employed,medium,00:00-06:00,Active,ios,other,628,medium,3
Male,beginner,39,193,NaN,NaN,monthly,41720,self_employed,low,18:00-00:00,Active,ios,laptop,193,high,1
Male,beginner,33,317,293,NaN,annual,25413,unemployed,medium,12:00-18:00,Active,other,other,610,medium,4
Male,beginner,27,2,NaN,NaN,annual,55558,unemployed,low,06:00-12:00,Inactive,other,tablet,2,high,1
Male,beginner,30,316,290,168,annual,48586,unemployed,high,00:00-06:00,Active,other,phone,774,low,3
Male,beginner,26,333,290,274,annual,36274,employed,high,12:00-18:00,Active,ios,tablet,897,low,3
Male,beginner,38,106,NaN,NaN,annual,27845,employed,low,12:00-18:00,Active,other,tablet,106,high,1
Male,beginner,39,296,221,NaN,monthly,50869,employed,medium,06:00-12:00,Active,other,phone,517,medium,4
Male,beginner,26,322,162,NaN,monthly,37298,self_employed,medium,18:00-00:00,Active,ios,other,484,medium,4
Male,beginner,28,318,329,272,monthly,61211,unemployed,high,00:00-06:00,Active,other,other,919,low,2
Male,beginner,38,13,NaN,NaN,annual,45060,unemployed,low,06:00-12:00,Active,other,phone,13,high,1
Male,beginner,27,47,NaN,NaN,monthly,35090,self_employed,low,06:00-12:00,Active,ios,tablet,47,high,1
Male,beginner,40,160,NaN,NaN,annual,42688,other,low,06:00-12:00,Active,ios,other,160,high,1
Male,beginner,29,94,NaN,NaN,monthly,34312,self_employed,low,06:00-12:00,Active,other,laptop,94,high,1
